product_id,product_name,category_id,brand,price,cost,stock_quantity,weight_kg,dimensions,description,created_date
1,BrandC Coffee Beans,9,BrandC,31.96,19.46,33,2.97,41x8x24,High-quality coffee beans from BrandC,2020-01-25
2,Elite Camera,1,Elite,1385.15,915.69,19,1.74,37x29x19,High-quality camera from Elite,2021-03-10
3,Deluxe Glue Set,10,Deluxe,26.19,11.92,40,5.76,42x49x2,High-quality glue set from Deluxe,2021-11-16
4,Standard Hat,2,Standard,145.93,81.36,77,8.54,23x50x10,High-quality hat from Standard,2019-09-01
5,BrandD Dress,2,BrandD,23.44,11.05,10,6.43,22x13x10,High-quality dress from BrandD,2019-04-16
6,BrandD Tea Set,9,BrandD,29.06,11.64,88,6.36,28x25x4,High-quality tea set from BrandD,2020-06-24
7,Basic Headphones,1,Basic,1801.75,880.1,14,6.3,5x27x9,High-quality headphones from Basic,2020-07-26
8,BrandE Cookbook,5,BrandE,48.86,27.42,199,9.4,42x11x25,High-quality cookbook from BrandE,2021-02-21
9,BrandE Lamp,3,BrandE,437.61,258.32,141,2.14,33x19x12,High-quality lamp from BrandE,2020-07-04
10,Deluxe Cookbook,5,Deluxe,35.19,23.14,101,1.64,19x32x13,High-quality cookbook from Deluxe,2019-10-31
11,BrandB Perfume,6,BrandB,53.63,28.84,45,1.97,36x16x22,High-quality perfume from BrandB,2020-07-31
12,BrandE T-Shirt,2,BrandE,45.14,20.46,100,6.9,17x9x6,High-quality t-shirt from BrandE,2019-05-28
13,BrandD Backpack,4,BrandD,150.13,89.11,103,1.09,38x13x25,High-quality backpack from BrandD,2019-01-25
14,BrandB Bedding Set,3,BrandB,201.38,81.8,3,7.66,46x7x6,High-quality bedding set from BrandB,2020-05-23
15,BrandE Car Mat,8,BrandE,34.26,20.15,3,7.94,5x11x19,High-quality car mat from BrandE,2020-11-24
16,BrandD Board Game,7,BrandD,21.47,13.48,113,8.17,24x26x17,High-quality board game from BrandD,2019-11-13
17,BrandA Cookbook,5,BrandA,31.74,15.24,139,1.32,7x11x19,High-quality cookbook from BrandA,2020-08-30
18,Standard Jeans,2,Standard,178.99,93.9,0,9.13,6x19x15,High-quality jeans from Standard,2021-02-28
19,Premium Tea Set,9,Premium,34.49,16.13,175,3.91,50x12x17,High-quality tea set from Premium,2019-12-14
20,BrandD Laptop,1,BrandD,248.39,170.58,91,0.86,26x12x13,High-quality laptop from BrandD,2019-06-23
21,Deluxe T-Shirt,2,Deluxe,42.95,22.7,85,6.04,48x32x6,High-quality t-shirt from Deluxe,2020-09-09
22,Premium Phone Mount,8,Premium,133.18,64.1,127,6.65,21x50x4,High-quality phone mount from Premium,2019-01-05
23,BrandC Shampoo,6,BrandC,37.46,19.37,184,7.99,35x9x5,High-quality shampoo from BrandC,2021-05-25
24,BrandC Puzzle,7,BrandC,18.15,12.68,46,7.7,27x25x17,High-quality puzzle from BrandC,2021-05-18
25,Basic Glue Set,10,Basic,48.32,28.56,35,8.04,46x20x14,High-quality glue set from Basic,2021-05-07
26,Elite Water Bottle,4,Elite,173.16,94.85,137,8.23,29x10x20,High-quality water bottle from Elite,2021-05-13
27,BrandB Air Freshener,8,BrandB,46.75,18.74,4,3.69,35x13x5,High-quality air freshener from BrandB,2019-05-03
28,Premium Puzzle,7,Premium,69.72,46.02,35,3.02,14x40x15,High-quality puzzle from Premium,2020-05-11
29,BrandD Cookbook,5,BrandD,12.23,5.4,178,7.07,29x6x24,High-quality cookbook from BrandD,2021-05-19
30,BrandA Vitamins,6,BrandA,72.53,43.43,18,4.82,43x15x2,High-quality vitamins from BrandA,2019-10-28
31,BrandC Puzzle,7,BrandC,17.37,7.35,145,8.33,31x14x7,High-quality puzzle from BrandC,2021-08-20
32,Standard Tea Set,9,Standard,36.44,17.85,105,7.25,33x46x24,High-quality tea set from Standard,2019-01-28
33,BrandB Phone Mount,8,BrandB,36.04,23.94,8,6.08,16x37x7,High-quality phone mount from BrandB,2019-01-23
34,Basic Biography,5,Basic,37.2,24.66,141,7.14,21x41x18,High-quality biography from Basic,2020-09-18
35,Basic Cookbook,5,Basic,47.26,22.76,23,5.26,13x18x14,High-quality cookbook from Basic,2019-04-25
36,Basic Sketchbook,10,Basic,20.31,12.67,143,6.09,9x49x16,High-quality sketchbook from Basic,2021-09-04
37,Basic Sneakers,2,Basic,168.04,75.53,95,6.5,17x22x5,High-quality sneakers from Basic,2019-08-02
38,Premium Coffee Beans,9,Premium,32.14,21.02,7,2.47,15x39x5,High-quality coffee beans from Premium,2019-05-14
39,Deluxe Yoga Mat,4,Deluxe,28.02,18.85,48,5.56,45x7x9,High-quality yoga mat from Deluxe,2020-07-05
40,Deluxe Coffee Beans,9,Deluxe,30.42,17.31,123,0.55,25x10x11,High-quality coffee beans from Deluxe,2019-01-18
41,BrandE Garden Hose,3,BrandE,480.19,264.14,80,7.54,27x13x24,High-quality garden hose from BrandE,2019-07-19
42,Basic Vitamins,6,Basic,90.48,49.86,128,8.09,14x6x20,High-quality vitamins from Basic,2021-02-21
43,Deluxe Perfume,6,Deluxe,87.93,36.16,41,1.6,34x10x22,High-quality perfume from Deluxe,2019-07-11
44,BrandD Tablet,1,BrandD,1624.58,968.68,196,7.21,37x38x25,High-quality tablet from BrandD,2021-12-07
45,Elite Chocolate,9,Elite,40.34,20.24,92,6.27,32x7x24,High-quality chocolate from Elite,2021-03-04
46,BrandD Sketchbook,10,BrandD,74.8,43.54,39,5.71,36x11x2,High-quality sketchbook from BrandD,2019-10-20
47,Standard Vitamins,6,Standard,87.81,56.13,22,5.04,34x25x7,High-quality vitamins from Standard,2020-08-28
48,BrandB Dress,2,BrandB,66.82,34.01,22,0.8,50x34x10,High-quality dress from BrandB,2021-08-27
49,Elite Science Textbook,5,Elite,36.01,15.92,31,9.72,36x7x13,High-quality science textbook from Elite,2020-08-10
50,Basic Protein Bar,9,Basic,43.57,29.42,33,4.46,37x44x12,High-quality protein bar from Basic,2021-02-04
51,Basic Face Cream,6,Basic,54.55,26.12,174,0.52,46x8x25,High-quality face cream from Basic,2020-05-16
52,BrandC Smartphone,1,BrandC,1713.47,834.8,40,5.74,9x19x14,High-quality smartphone from BrandC,2021-08-04
