movement_id,product_id,movement_type,quantity,movement_date,reference_number,notes
1,432,Stock In,10,2023-05-29,INV-000001,Stock In for BrandB Protein Bar
2,258,Stock In,130,2020-11-04,INV-000002,Stock In for BrandE Doll
3,53,Stock Out,-2,2023-02-22,INV-000003,Stock Out for Premium Coffee Beans
4,19,Return,2,2020-11-16,INV-000004,Return for Premium Tea Set
5,217,Stock In,143,2023-04-11,INV-000005,Stock In for Elite Yoga Mat
6,29,Adjustment,2,2021-01-03,INV-000006,Adjustment for BrandD Cookbook
7,186,Stock Out,-39,2023-08-10,INV-000007,Stock Out for BrandD Cookbook
8,101,Adjustment,16,2022-04-26,INV-000008,Adjustment for BrandA Jacket
9,164,Stock In,43,2021-04-25,INV-000009,Stock In for BrandB Phone Mount
10,64,Stock Out,-5,2021-11-02,INV-000010,Stock Out for BrandA Doll
11,247,Damaged,-5,2022-11-22,INV-000011,Damaged for BrandD Self-Help Book
12,316,Return,6,2020-08-23,INV-000012,Return for Deluxe Self-Help Book
13,73,Return,6,2022-07-01,INV-000013,Return for Deluxe Vacuum Cleaner
14,416,Damaged,-1,2021-02-08,INV-000014,Damaged for Basic Shampoo
15,404,Stock Out,-13,2020-01-29,INV-000015,Stock Out for Elite Self-Help Book
16,23,Damaged,-5,2023-01-07,INV-000016,Damaged for BrandC Shampoo
17,413,Stock In,121,2020-01-07,INV-000017,Stock In for Elite Craft Paper
18,179,Damaged,-3,2020-05-17,INV-000018,Damaged for Premium Running Shoes
19,68,Return,6,2020-01-25,INV-000019,Return for BrandB Boots
20,484,Stock Out,-47,2021-07-26,INV-000020,Stock Out for Standard Chocolate
21,363,Stock In,66,2020-02-19,INV-000021,Stock In for Basic Water Bottle
22,299,Stock In,123,2022-11-17,INV-000022,Stock In for Premium Craft Paper
23,289,Damaged,-4,2022-10-07,INV-000023,Damaged for Elite Laptop
24,69,Adjustment,13,2023-12-05,INV-000024,Adjustment for BrandE Tent
25,339,Return,6,2021-11-28,INV-000025,Return for Standard Running Shoes
26,424,Damaged,-3,2020-01-11,INV-000026,Damaged for Standard Smartphone
27,195,Damaged,-3,2023-03-23,INV-000027,Damaged for Elite Bedding Set
28,323,Stock In,87,2021-11-17,INV-000028,Stock In for Basic Speaker
29,177,Stock In,85,2023-06-20,INV-000029,Stock In for Basic Tire Gauge
30,272,Return,3,2021-05-23,INV-000030,Return for Basic Tent
31,336,Return,7,2023-06-27,INV-000031,Return for Elite Tea Set
32,119,Adjustment,5,2020-09-19,INV-000032,Adjustment for BrandA Bedding Set
33,364,Return,3,2022-10-24,INV-000033,Return for BrandD Hat
34,364,Return,6,2020-08-01,INV-000034,Return for BrandD Hat
35,486,Damaged,-1,2021-08-12,INV-000035,Damaged for Basic Glue Set
36,12,Stock Out,-3,2021-09-23,INV-000036,Stock Out for BrandE T-Shirt
37,427,Stock Out,-42,2023-02-07,INV-000037,Stock Out for BrandC Boots
38,366,Adjustment,0,2020-04-04,INV-000038,Adjustment for Premium Coffee Maker
39,30,Adjustment,5,2020-10-26,INV-000039,Adjustment for BrandA Vitamins
40,453,Stock In,134,2022-03-01,INV-000040,Stock In for Standard Craft Paper
41,358,Adjustment,-8,2021-08-28,INV-000041,Adjustment for BrandA Toy Car
42,464,Damaged,-2,2023-03-21,INV-000042,Damaged for BrandC Tire Gauge
43,468,Adjustment,-14,2022-05-21,INV-000043,Adjustment for Deluxe Tablet
44,416,Return,8,2021-06-09,INV-000044,Return for Basic Shampoo
